ticker,horizon,model,n_periods,cum_return,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,exposure
MSFT,21,elasticnet,180,3.89848194743686,0.11174222476943063,0.13670670237170762,0.845158723478423,-0.21731129388516002,0.6881720430107527,0.5166666666666667
MSFT,21,ridge,180,3.5484611073353225,0.10626107712005828,0.13803247261574136,0.8022641531518289,-0.2173112938851598,0.6774193548387096,0.5166666666666667
MSFT,21,lgbm_reg,180,2.6845144479204386,0.09083404604628043,0.1477963661651084,0.6611467905893752,-0.22156865834471007,0.5652173913043478,0.5111111111111111
MSFT,21,pls,180,1.824585633157374,0.07167635743418299,0.12454884850660296,0.617709433944854,-0.1836605522283713,0.6052631578947368,0.4222222222222222
MSFT,21,huber,180,2.0861814151744587,0.07802317375797774,0.14438468470079444,0.5932558272669597,-0.29393026546527956,0.6382978723404256,0.5222222222222223
MSFT,21,hist_mean,180,0.8976383140879105,0.043632422110020386,0.0930566113132544,0.5052573328469339,-0.2497476530478122,0.6818181818181818,0.24444444444444444
MSFT,21,xgb,180,0.45070940384199676,0.025113678254256255,0.14735597087161964,0.2401982277144351,-0.34619939056700477,0.4489795918367347,0.5444444444444444
MSFT,21,lgbm,180,-0.16875572516621606,-0.01224649868965022,0.14551626149858232,-0.01312056767489086,-0.43157776817354154,0.45098039215686275,0.5666666666666667
MSFT,21,zero,180,0.0,0.0,0.0,,0.0,,0.0
MSFT,63,buy_and_hold,60,20.309494177176585,0.2262288866878044,0.1989609861184273,1.143405773132202,-0.26522790437054133,0.7166666666666667,1.0
MSFT,63,hist_mean,60,4.408113392727443,0.11910212207549042,0.15962999959039537,0.7900343027705212,-0.26522790437054145,0.7209302325581395,0.7166666666666667
MSFT,63,pls,60,1.2832989468137779,0.056584377754913984,0.16700714862533952,0.41167212286257,-0.25782076897995587,0.5952380952380952,0.7
MSFT,63,lgbm_reg,60,0.9134449660193242,0.04420972047910121,0.1412284673252255,0.37609191486985216,-0.24681778487554085,0.55,0.6666666666666666
MSFT,63,elasticnet,60,0.8608627317836557,0.04227172403756163,0.17624123282696014,0.3243053547096432,-0.2974756855615863,0.5952380952380952,0.7
MSFT,63,ridge,60,0.6661801162327201,0.034621414515644267,0.1785502225499195,0.280695689652985,-0.2974756855615862,0.5681818181818182,0.7333333333333333
MSFT,63,huber,60,0.5537875091899223,0.029815541527578926,0.17806799257680944,0.25563911483045737,-0.2974756855615863,0.6153846153846154,0.65
MSFT,63,xgb,60,-0.03598661294618721,-0.0024403573070164164,0.1755236748355908,0.0761909752524523,-0.30407959548291374,0.5,0.7
MSFT,63,lgbm,60,-0.12532852139230943,-0.00888739924644244,0.1861967087517258,0.046034780709552976,-0.3456706815993609,0.47619047619047616,0.7
MSFT,63,zero,60,0.0,0.0,0.0,,0.0,,0.0
