source,ticker,horizon,fold,scheme,window,model,weight
e1,AAPL,5,6,mae_da,last3,xgb,0.013461888927877289
e1,AAPL,5,7,mae_da,last3,elasticnet,0.20241079154620245
e1,AAPL,5,7,mae_da,last3,huber,0.0033356936099476404
e1,AAPL,5,7,mae_da,last3,pls,0.5454156621462418
e1,AAPL,5,7,mae_da,last3,lgbm_reg,0.23081060315878177
e1,AAPL,5,7,mae_da,last3,xgb,0.018027249538826333
e1,AAPL,5,8,mae_da,last3,elasticnet,0.09441082417312059
e1,AAPL,5,8,mae_da,last3,huber,0.006425936857240364
e1,AAPL,5,8,mae_da,last3,pls,0.7394718657001998
e1,AAPL,5,8,mae_da,last3,lgbm_reg,0.1543197918732125
e1,AAPL,5,8,mae_da,last3,xgb,0.0053715813962267045
e1,AAPL,5,9,mae_da,last3,elasticnet,0.020369596829581248
e1,AAPL,5,9,mae_da,last3,huber,0.008094693454862054
e1,AAPL,5,9,mae_da,last3,pls,0.9037779375796996
e1,AAPL,5,9,mae_da,last3,lgbm_reg,0.059168115741474375
e1,AAPL,5,9,mae_da,last3,xgb,0.008589656394382863
e1,AAPL,5,10,mae_da,last3,elasticnet,0.013576233213686147
e1,AAPL,5,10,mae_da,last3,huber,0.018940342296166833
e1,AAPL,5,10,mae_da,last3,pls,0.8831402743108097
e1,AAPL,5,10,mae_da,last3,lgbm_reg,0.0807740930675041
e1,AAPL,5,10,mae_da,last3,xgb,0.0035690571118333144
e1,AAPL,5,11,mae_da,last3,elasticnet,0.009769093757870948
e1,AAPL,5,11,mae_da,last3,huber,0.01374675100251362
e1,AAPL,5,11,mae_da,last3,pls,0.848879991581624
e1,AAPL,5,11,mae_da,last3,lgbm_reg,0.12352034747247495
e1,AAPL,5,11,mae_da,last3,xgb,0.004083816185516679
e1,AAPL,5,12,mae_da,last3,elasticnet,0.1100077246993747
e1,AAPL,5,12,mae_da,last3,huber,0.22653802799276948
e1,AAPL,5,12,mae_da,last3,pls,0.5571753304395096
e1,AAPL,5,12,mae_da,last3,lgbm_reg,0.10436964677438691
e1,AAPL,5,12,mae_da,last3,xgb,0.0019092700939591619
e1,AAPL,5,13,mae_da,last3,elasticnet,0.30719195580207187
e1,AAPL,5,13,mae_da,last3,huber,0.18194477858331995
e1,AAPL,5,13,mae_da,last3,pls,0.48277806788384536
e1,AAPL,5,13,mae_da,last3,lgbm_reg,0.025532900446515627
e1,AAPL,5,13,mae_da,last3,xgb,0.0025522972842471647
e1,AAPL,5,14,mae_da,last3,elasticnet,0.7038959177372279
e1,AAPL,5,14,mae_da,last3,huber,0.09535093905801963
e1,AAPL,5,14,mae_da,last3,pls,0.17774417588960198
e1,AAPL,5,14,mae_da,last3,lgbm_reg,0.01944076279405451
e1,AAPL,5,14,mae_da,last3,xgb,0.0035682045210958468
e1,AAPL,5,0,softmax_ic,expanding,elasticnet,0.2
e1,AAPL,5,0,softmax_ic,expanding,huber,0.2
e1,AAPL,5,0,softmax_ic,expanding,pls,0.2
e1,AAPL,5,0,softmax_ic,expanding,lgbm_reg,0.2
e1,AAPL,5,0,softmax_ic,expanding,xgb,0.2
e1,AAPL,5,1,softmax_ic,expanding,elasticnet,0.035591184947414777
e1,AAPL,5,1,softmax_ic,expanding,huber,0.022557588854829596
e1,AAPL,5,1,softmax_ic,expanding,pls,0.3624941066241439
