ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias,base_rate,dir_acc_vs_base
AAPL,21,elasticnet,3780,0.06987973658371194,0.08887456465204292,0.5597883597883598,0.027236108971509486,0.03795788657437607,0.011509987482887903,0.6161375661375661,-0.05634920634920626
AAPL,21,xgb,3780,0.0703772508525648,0.08963300725902076,0.5658730158730159,-0.0028955061500465155,-0.01016331645972234,0.01153231407477656,0.6161375661375661,-0.050264550264550234
AAPL,21,huber,3780,0.07153701054638124,0.09108007957228591,0.5727513227513228,0.015489354240011206,0.029370462631179938,0.01638400067954067,0.6161375661375661,-0.043386243386243306
AAPL,21,lgbm,3780,0.07156436313252702,0.09130352905684826,0.5637566137566138,-0.014865839249197647,-0.0030646490608425125,0.010317906623243998,0.6161375661375661,-0.052380952380952306
AAPL,63,hist_mean,3780,0.11364835685888344,0.14590610766681178,0.6854497354497354,-0.07925386168562357,-0.14422388569240563,0.022056571554942245,0.6854497354497354,0.0
AAPL,63,lgbm_reg,3780,0.122334217688996,0.15585911823824652,0.6653439153439153,0.0843079389654907,0.04875193354503369,0.03328958196236888,0.6854497354497354,-0.02010582010582007
AAPL,63,zero,3780,0.12256799957071011,0.1570955012299115,,,,-0.06476687744868545,0.6854497354497354,
AAPL,63,pls,3780,0.1245677448877071,0.15892063402947923,0.6693121693121693,0.1135886953428644,0.08130865988576987,0.04047080291617284,0.6854497354497354,-0.016137566137566117
AAPL,63,xgb,3780,0.1320496778235863,0.16643386345953212,0.6309523809523809,0.09163972404517573,0.05522585845657799,0.03355744049604896,0.6854497354497354,-0.05449735449735449
AAPL,63,ridge,3780,0.13340480773966187,0.17086039510909704,0.6325396825396825,0.05600992719618393,0.04467725402587313,0.03745418307295013,0.6854497354497354,-0.05291005291005291
AAPL,63,elasticnet,3780,0.13389942451747175,0.17150918043739757,0.6312169312169312,0.05552873399763986,0.047539669869841344,0.03726480829016703,0.6854497354497354,-0.05423280423280419
AAPL,63,lgbm,3780,0.13527536850764244,0.1692083703703477,0.6105820105820106,0.06847186344303197,0.0431664366204548,0.02889579876430535,0.6854497354497354,-0.07486772486772486
AAPL,63,huber,3780,0.13940292141818802,0.1786459727559096,0.6335978835978836,0.02558506382702517,0.006109911097740733,0.041604507296785394,0.6854497354497354,-0.051851851851851816
JPM,5,hist_mean,3780,0.02632500135746894,0.03638054199512634,0.5743386243386244,-0.02720638538926047,-0.023017586431168666,-0.0006918319745850043,0.5743386243386244,0.0
JPM,5,zero,3780,0.026638714922811897,0.03655645716197572,,,,-0.003769992829186311,0.5743386243386244,
