source,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
e1,JPM,63,ens_softmax_ic_last3,3780,0.10287515871618468,0.13139721561669812,0.5965608465608465,0.2458064826202949,0.22187270758550076,-0.01571486121613861
e1,JPM,63,huber,3780,0.10561916956712566,0.1351480792430702,0.6116402116402117,0.2689169625355122,0.2484153445403236,-0.015935461179680546
e1,JPM,63,lgbm_reg,3780,0.1000634681917201,0.1269823694313221,0.5656084656084656,0.19700382305370556,0.10483821280349852,-0.017191865716000183
e1,JPM,63,pls,3780,0.10595359270836577,0.13498062045048662,0.558994708994709,0.18010260140698905,0.149905303304678,-0.0390334225116932
e1,JPM,63,xgb,3780,0.10661600228759331,0.13366168075118645,0.5367724867724868,0.15411433695869503,0.07771548301994412,-0.021435782322418103
e1,MSFT,5,elasticnet,3780,0.02525489441141384,0.03376116237268905,0.5362433862433862,0.03959104520495025,0.048870979771798384,-0.00394818237400199
e1,MSFT,5,ens_best_recent_expanding,3780,0.025115583184771254,0.033613719620279724,0.5439153439153439,0.023825284035293978,0.04620858677680372,-0.003201017922839003
e1,MSFT,5,ens_best_recent_last3,3780,0.02490826373178112,0.03319794535406133,0.5587301587301587,0.05697898923071047,0.05742589328894821,-0.0027472639278740066
e1,MSFT,5,ens_equal_expanding,3780,0.02479992539064805,0.03322600278843237,0.558994708994709,0.05103403094996788,0.07089869736788444,-0.0031143981469366026
e1,MSFT,5,ens_inv_mae_expanding,3780,0.02479037571093902,0.03321220021153167,0.56005291005291,0.051367765913075805,0.0710338820739966,-0.003098990894183503
e1,MSFT,5,ens_inv_mae_last3,3780,0.02479046256238294,0.03321255811142461,0.5613756613756614,0.05160742789960753,0.07140368635517487,-0.0030924936864483235
e1,MSFT,5,ens_mae_da_expanding,3780,0.024701609347520862,0.03305190720602586,0.562962962962963,0.05848525379225428,0.07209821116781062,-0.0029631712244450998
e1,MSFT,5,ens_mae_da_last3,3780,0.024722566071196706,0.03306141109384272,0.5619047619047619,0.05783839849666389,0.06909634008138471,-0.002904663849213884
e1,MSFT,5,ens_softmax_ic_expanding,3780,0.024821393837234203,0.033242230903359746,0.5574074074074075,0.04696009541832508,0.06546384761751915,-0.003070249277414166
e1,MSFT,5,ens_softmax_ic_last3,3780,0.024754499117960394,0.033121510368953576,0.5597883597883598,0.06037143289285466,0.07350598060843698,-0.0029716092056135917
e1,MSFT,5,huber,3780,0.025212374029720565,0.03359693578824833,0.5388888888888889,0.04237297086059038,0.04757398951265586,-0.003144630999043809
e1,MSFT,5,lgbm_reg,3780,0.02466247112339203,0.03303118453199901,0.5574074074074075,0.0591542370363552,0.0694253474738874,-0.0026575471499726156
e1,MSFT,5,pls,3780,0.02468683227492936,0.03299916604807082,0.5611111111111111,0.07207316630550901,0.07741906378587977,-0.0030008599266812736
e1,MSFT,5,xgb,3780,0.025429724310964425,0.03411883798285596,0.5473544973544974,0.024642924939562015,0.053204044025969836,-0.0028207702849833267
e1,MSFT,21,elasticnet,3780,0.05374165705974538,0.07069118208963222,0.5312169312169313,-0.026256536094079085,0.008534649083871812,-0.013723378433284262
e1,MSFT,21,ens_best_recent_expanding,3780,0.05335818343534495,0.07030839165293534,0.5211640211640212,-0.0536241572030177,-0.022866599347921575,-0.012623758740790459
e1,MSFT,21,ens_best_recent_last3,3780,0.052751007647921115,0.06850343391810702,0.5314814814814814,-0.022987707544893102,-0.003495480094814168,-0.01186777866130556
e1,MSFT,21,ens_equal_expanding,3780,0.052226920610591365,0.06807947342521152,0.5425925925925926,-0.06659632540936793,-0.022322120782859167,-0.011814914650626611
e1,MSFT,21,ens_inv_mae_expanding,3780,0.05214663591086949,0.06795103191960501,0.5396825396825397,-0.066164856724914,-0.023275581154660024,-0.011702086542515092
e1,MSFT,21,ens_inv_mae_last3,3780,0.052179168079109,0.06796553456911203,0.5394179894179895,-0.06735751344124344,-0.024952245725846974,-0.011710214724187994
e1,MSFT,21,ens_mae_da_expanding,3780,0.051751001869965896,0.06752518392105454,0.5462962962962963,-0.0443976893875614,-0.003223968897481983,-0.011979332026253798
e1,MSFT,21,ens_mae_da_last3,3780,0.05194215723965311,0.06752738972936184,0.5444444444444444,-0.051672332899240794,-0.023955739888022604,-0.012338264793351298
e1,MSFT,21,ens_softmax_ic_expanding,3780,0.052511933064213076,0.0689689414411138,0.5335978835978836,-0.04573359212005996,-0.014327467328749765,-0.011962860441991387
e1,MSFT,21,ens_softmax_ic_last3,3780,0.05233869677251465,0.06816183440979211,0.5439153439153439,-0.03681894629692957,-0.0056071048126596175,-0.011937120036359886
e1,MSFT,21,huber,3780,0.05321678591746678,0.06986965614206059,0.5492063492063493,-0.025712332300740694,0.0001787888446667989,-0.01150467366199577
e1,MSFT,21,lgbm_reg,3780,0.052292074518184656,0.06691056436221222,0.5280423280423281,-0.06656781046606325,-0.051771962053603036,-0.010171426473151049
e1,MSFT,21,pls,3780,0.05138241371964109,0.0670762786375949,0.5595238095238095,-0.043120340476371595,0.012797747919944388,-0.011229274997309089
e1,MSFT,21,xgb,3780,0.05560925359035252,0.07209825496809774,0.515079365079365,-0.1286707325146447,-0.07725795226782418,-0.012445819687392893
e1,MSFT,63,elasticnet,3780,0.0979220925450092,0.12609507841406623,0.5682539682539682,-0.04203594824509655,-0.016876309102834542,-0.03133966183199209
e1,MSFT,63,ens_best_recent_expanding,3780,0.09641401023437655,0.12184784942767392,0.5748677248677249,-0.10391491342428444,-0.09559973004608785,-0.027977035066536843
e1,MSFT,63,ens_best_recent_last3,3780,0.09601862842339598,0.12128408705144887,0.5835978835978836,-0.09509318248371648,-0.08498131511505219,-0.027463808459977593
e1,MSFT,63,ens_equal_expanding,3780,0.09602731511206491,0.12213053259742258,0.6,-0.06439487651032169,-0.056447143780294196,-0.030854923974775572
e1,MSFT,63,ens_inv_mae_expanding,3780,0.09600050528229581,0.12207050867121307,0.6010582010582011,-0.06608123822983107,-0.05888520048532196,-0.03065637612641612
e1,MSFT,63,ens_inv_mae_last3,3780,0.09600695806023302,0.12220108538552188,0.6018518518518519,-0.06522818473419274,-0.05730549002688732,-0.030480117875450182
e1,MSFT,63,ens_mae_da_expanding,3780,0.09820760541012125,0.12416106214604158,0.5873015873015873,-0.1079766014324706,-0.11629506500822716,-0.028739250130362694
e1,MSFT,63,ens_mae_da_last3,3780,0.09720453132191777,0.12446328864797364,0.5952380952380952,-0.08798626508926455,-0.08013991797633357,-0.026441130023203148
e1,MSFT,63,ens_softmax_ic_expanding,3780,0.09575594193656774,0.12254898240912125,0.5902116402116402,-0.08961552342049268,-0.07182797537257866,-0.027316959129333723
e1,MSFT,63,ens_softmax_ic_last3,3780,0.09552298310328435,0.12100510931928407,0.5933862433862434,-0.0814104465220738,-0.06621092587326789,-0.028513619450048534
