setup,ticker,horizon,model,n,mae,rmse,dir_acc,corr,spearman_ic,bias
market+sent,AAPL,5,pls,1512,0.03136679771232715,0.041799104835057194,0.5588624338624338,0.11967019377800858,0.11953465616994101,-0.0005485976294246734
market+sent,AAPL,5,xgb,1512,0.03197667752086448,0.04226538404643705,0.501984126984127,0.08787739228970524,0.05740636466317231,-0.002087439929994689
market+sent,AAPL,21,elasticnet,1512,0.07103589427250781,0.09168558456373879,0.5529100529100529,-0.005865937735552781,0.07027760675082824,-0.005252241252944357
market+sent,AAPL,21,huber,1512,0.06895287258219507,0.086775172773522,0.5648148148148148,0.14663546620757958,0.16676158983486214,0.0005678106438727075
market+sent,AAPL,21,lgbm_reg,1512,0.06645689486461964,0.08393138623237181,0.5687830687830688,0.10535538103997145,0.0815058375613424,-0.0055179511515073935
market+sent,AAPL,21,pls,1512,0.06723809123314979,0.0857210483506359,0.5727513227513228,0.12116053427786075,0.15952286421500292,-0.008148046209194015
market+sent,AAPL,21,xgb,1512,0.06757760410285947,0.08540079163801072,0.5277777777777778,0.12359986930161959,0.08894163393421373,-0.006459650219039943
market+sent,AAPL,63,elasticnet,1512,0.12260503896560807,0.16060481687518013,0.5641534391534392,0.16574759849372167,0.11699555949259488,0.010126097167699076
market+sent,AAPL,63,huber,1512,0.12733637519234273,0.1667810418459286,0.546957671957672,0.1353096212938882,0.07530179981728288,-0.0012426813179811772
market+sent,AAPL,63,lgbm_reg,1512,0.11830016126132431,0.15078326108464854,0.6236772486772487,0.11240014017687805,0.10672937768237287,-0.007582550165882001
market+sent,AAPL,63,pls,1512,0.12004224538124532,0.15441088032263714,0.5793650793650794,0.08670927873605938,0.08204220570879174,-0.016227927475611758
market+sent,AAPL,63,xgb,1512,0.11882551289142124,0.14672973664431493,0.5806878306878307,0.23026991405666022,0.15064173484294185,-0.009876678030426333
market+sent,JPM,5,elasticnet,1512,0.0337568936174419,0.04545672409048808,0.458994708994709,0.02723832485781538,-0.027684776148205626,0.002223088083681735
market+sent,JPM,5,huber,1512,0.03295971090721794,0.04500256946589182,0.48214285714285715,0.03511533579101628,-0.029052228000038025,0.002494572495795622
market+sent,JPM,5,lgbm_reg,1512,0.030239943548179528,0.04204838259192172,0.5317460317460317,-0.036583244233976096,-0.01784526749583933,0.0006892054058556844
market+sent,JPM,5,pls,1512,0.03122587126268294,0.042547134452823474,0.5211640211640212,0.017827928525685013,-0.03328447933096049,0.0020738147807171157
market+sent,JPM,5,xgb,1512,0.030837598191540732,0.042676080038871536,0.546957671957672,0.10934179827798296,0.07118237640966074,0.005214504519270122
market+sent,JPM,21,elasticnet,1512,0.07664838629246822,0.09900592977643785,0.5066137566137566,0.05833918076832343,-0.027480158252817705,-0.0036447632641333433
